,has_organizationID,has_name,has_description,has_organizationType,has_category,has_hashtag,has_administrator,has_logo,has_foundationYear,has_fiscalCode,has_latitude,has_longitude,has_contactPoint
0,org_254,Associazione Musicale Argentario,Associazione Musicale Argentario,,Musica,,,,2008-01-01,,46.074779,11.121749,cp_9577843435
1,org_1372,Gruppo Sportivo Belvedere A. S. D.,"Il G.S. Belvedere inizia con l'attività di Minibasket nel 1993 e dal 1996 è affiliato alla Federazione Italiana Pallacanestro e iscrive le squadre ai campionati giovanili federali maschili. Dalla stagione 2009/2010 la 1&deg;squadra maschile milita nel campionato regionale serie D.Dalla stagione 2011/12 abbiamo dato corpo ad un progetto nato dalla collaborazione fra le diverse realtà cestistiche di Trento e dintorni, che ha lo scopo di costruire un settore giovanile e senior del Basket Femminile convogliando al GS BELVEDERE tutte le ragazzine nel momento di passaggio dal Minibasket al Basket. Discipline praticate: minibasket, pallacanestro femminile e pallacanestro maschile.  ",,"Sport
Pallacanestro",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-belvedere-a.-s.-d/7924887-2-ita-IT/Gruppo-Sportivo-Belvedere-A.-S.-D.png,1993-01-01,,46.034893,46.034893,cp_5005303368
2,org_1819,ASD Virtus Trento,"La Virtus Trento è un'Associazione Sportiva Dilettantistica fondata a Trento il 30 ottobre 1947. Nel ricco panorama dell'associazionismo trentino, la Virtus occupa senz'altro un posto di rilievo. La sua storia è certamente un po' la storia di tutto il mondo del volontariato sportivo di questa nostra terra: un mondo in cui i valori come la gratuità dell'impegno, la passione generosa, la costanza sono il tratto distintivo e indiscutibile. Oltre mezzo secolo di vita è un traguardo importante. Ma la Virtus questi sessantasei anni se li porta addosso con grande vitalità. Il suo è ancora un cammino giovane, forse perchè proprio i giovani, con il loro entusiasmo, con la loro fresca energia, ne sono la linfa vitale. Il segreto di questo sodalizio è racchiuso appunto in questa sua capacità di lavorare per i giovani e non soltanto accanto ai giovani.L'associazione è una scuola calcio riconosciuta F.I.G.C. Le attività sono rivolte a tutte le categorie di base e giovanili F.I.G.C., giovani dilettanti, Juniores e dilettanti, 1^squadra e calcio a 5-serie D e la fascia d'età è compresa tra 5-16 anni. L'attività sportiva si svolge annualmente presso il Campo Talamo a Trento.",,"Sport
Calcio",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/asd-virtus-trento/7931430-2-ita-IT/ASD-Virtus-Trento.jpg,2008-01-01,,46.053079,46.053079,cp_2703301249
3,org_2497,Sanda Fight Club A.S.D.,"La A.S.D. SANDA FIGHT CLUB è un'associazione sportiva dilettantistica riconosciuta dal C.O.N.I. e nata nel 2007 per sviluppare ed accrescere l'apprendimento teorico e pratico delle Arti Marziali e del combattimento sportivo cinese (Kick boxing cinese) e le arti marziali miste. L'Associazione sportiva è nata per volontà del maestro Khaled Said e grazie alla collaborazione dei suoi colleghi Maestri e Istruttori uniti insieme dalla passione per le arti marziali.L'Associazione si è formata da una squadra molto piccola di 10 bambini in una valle di un piccolo paese di montagna ed oggi è una delle più grandi realtà sportive presenti sul territorio trentino. La maggiore attività agonistica è il Sanshuo dal 2007. Affiliata alla Federazione Italiana, con grande soddisfazione, per i risultati ottenuti nei vari campionati nel corso di questi ultimi 4 anni. Ogni stagione sportiva l'associazione partecipa ai campionati ufficiali della F.I.W.U.K. e ad altri eventi regionali, interregionali e nazionali con altri enti sportivi.Le attività realizzate dall'Associazione sono: Kung Fu, Kick Boxing bambini, Kickbox cinese (Sanda) e Sanda Light. Il Sanda è il combattimento sportivo a contatto pieno originato dal Kung Fu moderno, i combattimenti di Sanda si possono vedere ormai durante qualsiasi gara o manifestazione relativa al Kung Fu e sta conoscendo la via del professionismo in qualche nazione (Cina, Iran, Egitto, America, Russia, Italia). Il Sanda moderno viene praticato con pantaloncini corti e canotta e/o maglietta e nel combattimento sono previste le seguenti protezioni: caschetto aperto, corpetto, guantoni da 10 oz, conchiglia e parapiedi.L'associazione organizza annualmente dei corsi a partire da settembre fino a fine maggio rivolti alla fascia di età 6-35 anni presso il ""Centro Sportivo G. Manazzon"".",,"Sport
Arti marziali",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/sanda-fight-club-a.s.d/7931457-5-ita-IT/Sanda-Fight-Club-A.S.D.png,2007-01-01,,46.063954,46.063954,cp_2666063943
4,org_2284,SHUITAO La Via dell'Acqua a.c.s.d.,"E' un'associazione che da circa 20 anni si occupa della pratica, studio e ricerca integrata di discipline orientali ed occidentali che ""pro-muovano le potenzialità umane"" e favoriscano uno sviluppo armonico della persona. A questo scopo propone:- Corsi di Taichi nelle forme Yang &ndash; Chen &ndash; Spada;- Corsi di Qi Gong e Qi Gong Medico;- Incontri di Meditazione ZEN;- Percorsi di gruppo con tecniche Psicosintetiche e Taichi;- Corsi di calligrafia cinese;- Conferenze, incontri di studio, dibattiti, proiezioni.Il tai-chi è nato in Cina dal Taoismo, dal Buddismo Chan e dalla medicina cinese. Porta equilibrio, salute ed energia; è movimento fisico-energetico e mentale, è meditazione dinamica, è unaraffinata arte marziale. Ognuno può praticarla per i fini che ritiene più utili alle proprie esigenze, alla propria evoluzione.La forza del tai-chi sta nell'integrazione della forma codificata con la propria natura interiore.La Meditazione ZEN: meditare non è tanto fermarsi a riflettere su un particolare argomento con le sopracciglia aggrottate, ma ""medit-are"" può essere tradotto meglio come ""andare verso il centro"" &hellip;&hellip;il proprio centro e scoprire la propria vera natura, sedendosi quietamente.Per maggiori informazioni sulle altre discipline si consiglia di vedere il sito web dell'Associazione.",,"Sport
Discipline orientali",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/shuitao-la-via-dell-acqua-a.c.s.d2/8140849-7-ita-IT/SHUITAO-La-Via-dell-Acqua-a.c.s.d.png,2008-01-01,,46.055257,46.055257,cp_8171504636
5,org_2341,Associazione Polisportiva Dilettantistica Il Sole all'Orizzonte,"La polisportiva sviluppa a Trento dal 1984 l'arte marziale tradizionale cino-vietnamita Qwan Ki Do. I corsi si svolgono presso le palestre delle scuole Bernardi di Cognola, Sanzio e Manzoni di Trento. Opera nel settore delle ARTI MARZIALI",,"Sport
Arti marziali",qwan ki do,,,1984-01-01,,46.076458,46.076458,cp_7590257550
6,org_2394,ACSD La Gualdana del Malconsiglio,Associazione di ricerca e ricostruzione storica medievale XIV secolo,,"Scienze sociali
Cultura dei popoli
Sport",gualdana;scherma;arco;,,/var/comunetn/storage/images/ulteriori-sezioni/area-riservata/associazioni-urp/associazioni/acsd-la-gualdana-del-malconsiglio/8141969-3-ita-IT/ACSD-La-Gualdana-del-Malconsiglio.jpg,2009-01-01,,46.005938,46.005938,cp_7144803569
7,org_1906,Sci Club Agonistica Trentina (ex Ski team podio),Organizza per le squadre agonistiche quattro uscite settimanali di allenamento (compreso il sabato) e le uscite del fine settimana per la partecipazione alle competizioni.L'Associazione organizza corsi promozionali della durata di 10 giorni durante il periodo natalizio.,,"Sport
Discipline alpine",,,,2008-01-01,,46.077037,46.077037,cp_4343156310
8,org_1907,Sci Club Città di Trento A.S.D.,"
La nostra associazione sportiva è nata nel 1959; attraverso successivi
aggiornamenti statutari, organizzativi e di denominazione, nel 1990 diventa Sci
Club Città di Trento. La fiducia nello sport, come spazio di crescita e palestra di
sana competizione, sono solo alcuni dei motivi di aggregazione per i nostri soci.
Lo Sci Club Città di Trento è lo Sci Club storico della città ha avuto tra i propri
rappresentanti sindaci e personaggi che ne hanno fatto la storia e soprattutto
ha avuto, nel passato, centinaia di iscritti e di ragazzi che sono stati avviati allapratica dello sci alpino e, molti fra questi, alla professione di Maestro di Sci.
I corsi di sci alpino, che si svolgono sulle nevi del Monte Bondone, sono corsi
dedicati ai bambini, suddivisi nei vari gruppi e accompagnati dai maestri della
scuola di sci Monte Bondone.
I corsi preagonistici ed agonistici, invece, prevedono maggiore impegno per
quanto riguarda gli allenamenti, che possono arrivare fino a tre settimanali.
Tutto ciò con lo scopo di rinforzare la squadra così da rendere sempre più
preparato e competitivo il nostro team, pronto a partecipare alle gare di
circuito, nelle varie categorie, su tutto il territorio regionale.
SCI CLUB CITTA’ DI TRENTO A.D.
Tra i nostri soci abbiamo una buona percentuale di allievi che, dimostrando
ottima attitudine allo sci, sono selezionati ed indirizzati ai corsi ""superiori"" dispecializzazione e di preparazione alle competizioni.",,"Sport
Discipline alpine",,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/sci-club-citta-di-trento-a.s.d/8136533-2-ita-IT/Sci-Club-Citta-di-Trento-A.S.D.jpg,1959-01-01,,46.071357,46.071357,cp_8370037225
9,org_1730,"Unione scacchistica trentina, A.S.D.P.S.","L'A.S.D.P.S.  Unione scacchistica trentina conta la metà dei tesserati trentini alla Fisi: é riconosciuta dal 2005 come scuola di scacchi dalla FSI.Organizza campionati provinciali per under 16 e per adulti, con possibilità di corsi di scacchi per gli interessati.",,"Sport
Scacchi e dama",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-scacchistica-trentina-a.s.d.p.s/8134505-3-ita-IT/UNIONE-SCACCHISTICA-TRENTINA-A.S.D.P.S.jpg,2005-01-01,,46.074779,11.121749,cp_8742784519
10,org_89475,AGI - Associazione giglio d'Iside,"Servizio di volontariato, consulenze sull’allattamento, promozione dell’alto contatto e del portare i bambini in fascia. Gruppi di confronto, sostegno al lutto perinatale, massaggio infantile shantala",,"Scienza e tecnologie
Medicina, salute e benessere
Volontariato e solidarietà
Assistenza",parto;neonato;,,/var/comunetn/storage/images/citta/servizi/associazioni/agi-associazione-giglio-d-iside/8698786-1-ita-IT/AGI-Associazione-giglio-d-Iside.png,2014-01-01,,46.074779,11.121749,cp_9010200960
11,org_426,Bocciofila Trento Sud,"Il bocciodromo è aperto da lunedì a venerdì 14 - 23; sabato, domenica e festivi 7.30 - 23",,"Sport
Bocce",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/bocciofila-trento-sud2/7863183-4-ita-IT/Bocciofila-Trento-Sud.png,2008-01-01,,46.048443,46.048443,cp_4561158865
12,org_684,Circolo Tennis Calisio,"Il Circolo Tennis Calisio nasce nel 1979 con l'intento di promuovere il gioco del tennis. Centro tecnico federale: minitennis e perfezionamento.L'attività dell'Associazione si svolge annualmente da settembre a giugno ed è rivolta alla fascia d'età 4-18 anni. Nel periodo estivo, da metà giugno fino a metà luglio, l'Associazione organizza dei campus rivolti a bambini e ragazzi dai 4 ai 16 anni.L'Associazione ha ottenuto ottimi risultati sportivi : campioni provinciali under 14 maschile nel 2011, campioni provinciali under 18 maschile nel 2012 e campioni under 14 femminile nel 2013.",,"Sport
Tennis e tennis tavolo",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-tennis-calisio2/7863210-2-ita-IT/Circolo-Tennis-Calisio.png,1979-01-01,,46.083109,46.083109,cp_4563119320
13,org_685,Circolo Tennis Trento - Scuola Federale di Tennis,,,"Sport
Tennis e tennis tavolo",,,,2008-01-01,,46.067649,46.067649,cp_6467708019
14,org_2046,Tiro a Segno Nazionale,"Poligono presso il Centro Sportivo di Trento Nord (10 metri ad aria compressa).Poligono a Cadine, loc. Soraval (25 e 50 metri a fuoco), telefono 0461/990149.Orario poligono a fuoco: da aprile a ottobre giovedì 12.30 - 16.30; sabato e domenica 13.30- 16.30Orario poligono ad aria compressa: giovedì 20.30 - 22.30",,"Sport
Tiro a segno",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/tiro-a-segno-nazionale2/7863264-2-ita-IT/Tiro-a-Segno-Nazionale.png,2008-01-01,,46.082352,46.082352,cp_8174863304
15,org_2146,Unione Sportiva Sardagna - Associazione sportiva dilettantistica,"L'Unione Sportiva Sardagna fu fondata nel 1952 da alcuni ragazzi del paese appassionati di calcio che disputavano le partite con le squadre dei paesi limitrofi (Sopramonte, Tridentina ecc.). Dal 1 luglio 1973 questa associazione sportiva è affiliata alla F.I.G.C. Nel 1976 e nel 1992 l'U.S.Sardagna ha conquistato la promozione dalla terza alla seconda categoria. Attualmente l'attività sportiva è rivolta al settore giovanile e al calcio a 7 e a 11 amatoriale.",,"Sport
Calcio",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-sportiva-sardagna-associazione-sportiva-dilettantistica2/7854037-5-ita-IT/Unione-Sportiva-Sardagna-Associazione-sportiva-dilettantistica.png,1952-01-01,,46.065799,46.065799,cp_7063582769
16,org_370,"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""","La polisportiva ha le sezione di Volley, Sci, Tennis e Atletica.",,"Sport
Atletica leggera
Discipline alpine
Pallavolo
Tennis e tennis tavolo",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/ata-battisti-associazione-trentina-atletica-cesare-battisti2/7851749-2-ita-IT/ATA-Battisti-Associazione-Trentina-Atletica-Cesare-Battisti.jpg,2008-01-01,,46.046861,46.046861,cp_6143441923
17,org_653,Circolo Ippico La Roccia,"Il Circolo Ippico dispone di maneggio coperto e propone corsi di equitazione, cross-country,salto ostacoli, giochi e attività ricreative. L'equitazione è rivolta anche a bambini e ragazzi.Il cross-country è uno sport equestre olimpico, che consiste in una prova di velocità su terreno vario, e nel superamento di vari tipi di ostacoli fissi. Gli ostacoli che si incontrano durante il percorso riproducono ostacoli che si potrebbero trovare in natura.Il salto ostacoli è la specialità principe dell'equitazione. Nel nostro paese è la più diffusa e praticata e quella che vanta le maggiori tradizioni. I concorrenti debbono affrontare, all'interno di un campo di gara circoscritto un percorso composto da ostacoli mobili costruiti in legno e composti da vari elementi come barriere, tavole, cancelli e balustre.L'attività sportiva si svolge durante tutto l'anno presso il Centro La Roccia ed è rivolta ad una fascia d'età a partire dai 4 anni (corsi pony) in poi.",,"Sport
Equitazione",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-ippico-la-roccia2/7851776-2-ita-IT/Circolo-Ippico-La-Roccia.jpg,2008-01-01,,46.017192,46.017192,cp_2243949848
18,org_1374,Gruppo Sportivo Canova - bocciofila,"Correva l'anno 1980 quando l'allora assessore ai lavori pubblici del Comune di Trento Giuseppe Agrimi sensibile alle richieste del sig. Albano Depaoli realizza nelle adiacenze della Chiesa di Canova un campo di bocce comunale per il passatempo degli appassionati di quest o bellissimo sport.E' questa la base di partenza, di incontro e di socializzazione che negli anni successivi ed in modo specifico l'anno 1983 porta alla concretizzazione e quindi alla nascita dell'attuale GRUPPO SPORTIVO CANOVA.Le persone che hanno dato vita al sodalizio sono state ALBINO DEPAOLI eletto nella prima assemblea Prsidente dl Gruppo Sportivo Canova, Danilo Bolognani, Renato Bassetti, Livio Tasin, Benito Ciola, Riccardo Tamanini, Angelo Gottardi, Vittorio Tasin, Silvio Ceranelli, Dario Pisoni, Alfonso Tasin, Lorenzo Dallapè, Angelo Celva, Bruno Celva, Renato Nicolodi, Albino Tasin, Enrico Cainelli, Guido Moncher, Vittorio Moncher.Gestisce il bocciodromo di Canova e di Villazzano Tre.Nel 1986 succede alla presidenza del sodalizio Renzo Giacometti ed Albino Depaolo vieni nominato Presidente Onorario della Società.E' in questo periodo, in cui la direzione della società, sempre compatta e attiva, prende i primi contatti con i responsabili politici Comunali e Circoscrizionali informandoli della necessità di disporre di una struttura sportiva moderna, visto il numero sempre più consistente di iscritti alla società.",,"Sport
Bocce",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-canova-bocciofila2/7851803-4-ita-IT/Gruppo-Sportivo-Canova-bocciofila.png,1980-01-01,,46.09835,46.09835,cp_5905368619
19,org_1410,G.S. Argentario ASD,"L'Associazione risale al 1954, anno in cui fu fondata da Primo Campagnolo. Per molti anni è stata presieduta da Bruno Pedrotti che ha sviluppato e ampliato tutto il centro sportivo. Da fine 2011 il presidente è Massimo Frizzi. L'Associazione presenta una scuola di tennis federale diretta da un maestro federale assistito sia da un istruttore di primo grado federale che da un preparatore fisico federale ed è riconosciuta dalla F.I.T. quale ""Standard School"" (3 stelle). A livello agonistico, la prima squadra di tennis ha ottenuto la promozione in serie C nell'anno 2013.L'Associazione svolge anche attività agonistica di squash con alcuni atleti che partecipano ai tornei del circuito CSAIn Associazione Sportiva Squash Italia.",,"Sport
Tennis e tennis tavolo",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/g.s.-argentario-asd/7851830-2-ita-IT/G.S.-Argentario-ASD.png,1954-01-01,,46.073646,46.073646,cp_4364310042
20,org_1581,LAV - Lega Anti Vivisezione,"La sede ospita uno sportello informativo,  una biblioteca ed un negozio a tema.",,Ambiente e territorio,,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/lav-lega-anti-vivisezione/7668947-4-ita-IT/LAV-Lega-Anti-Vivisezione.jpg,2008-01-01,,46.071034,46.071034,cp_2771840848
21,org_2486,Sci Club Marzola A.S.D.,"Sci Club Marzola A.S.D. è una società sportiva fondata nel 1965 da un gruppo di appassionati dello sci di fondo. Negli anni ha avuto riconoscimenti dalla varie federazioni a cui è affiliata e numerosi atleti hanno fatto parte delle rappresentative sia Provinciali che Nazionali. Attualmente ci occupiamo di promuovere lo sci di fondo a livello giovanile con corsi per bambini in età scolare e ragazzi fino alle scuole superiori con ottimi risultati. L'attività viene svolta da allenatori federali ed inizia con preparazione atletica e prosegue poi sulle piste da sci, con la partecipazione a gare sia regionali che nazionali. Alcuni atleti sono entrati a far parte della rappresentativa provinciale FISI e a squadre di corpi Militari.Oltre allo Sci di fondo ci occupiamo di presciistica e orienteering.",,"Sport
Discipline alpine",,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/sci-club-marzola-a.s.d/7790805-4-ita-IT/Sci-Club-Marzola-A.S.D.png,1965-01-01,,46.06488,46.06488,cp_5441731955
